,retweetcount,has Supreme Court case-insensitive
743,6,False
744,3,False
745,1,False
746,0,False
747,0,False
748,1175,False
749,285,False
750,825,False
751,91,False
752,5,False
753,91,False
754,3,False
755,0,False
756,3,False
757,0,False
758,23,False
759,825,False
760,91,False
761,1,False
762,2,False
763,2,False
764,0,False
765,0,False
767,0,False
768,0,False
769,0,False
770,9,False
771,91,False
772,0,False
773,2,False
774,1,False
775,0,False
776,2226,False
777,0,False
778,0,False
779,0,False
780,0,False
781,0,False
782,0,False
783,2,False
784,0,False
785,4,False
786,0,False
787,2,False
788,2208,False
789,124,False
790,9,False
791,9,False
792,9,False
793,9,False
794,9,False
795,9,False
796,91,False
797,2,False
800,38,False
801,2,False
802,9,False
803,0,False
804,2,False
805,9,False
806,0,False
807,0,False
808,0,False
809,0,False
810,2,False
811,0,False
812,0,False
813,2,False
814,0,False
815,40,False
816,1174,False
817,0,False
818,0,False
819,1,False
820,0,False
821,0,False
822,0,False
823,0,False
824,0,False
825,1,False
826,0,False
827,0,False
828,0,False
829,0,False
830,5,False
832,1,False
833,29,False
834,0,False
835,3,False
836,1,False
837,1,False
838,14,False
839,2,False
840,2,False
841,1,False
842,1,False
843,0,False
844,2,False
845,510,False
846,0,False
847,3,False
848,0,False
849,0,False
851,0,False
852,0,False
853,0,False
854,1,False
855,0,False
856,0,False
857,0,False
858,0,False
859,91,False
860,0,False
861,0,False
862,0,False
863,0,False
864,0,False
865,0,False
866,0,False
867,0,False
868,31,False
869,2,False
870,1,False
871,0,False
872,0,False
873,0,False
874,1,False
875,0,False
876,91,False
877,1,False
878,1,False
879,0,False
880,2,False
881,91,False
882,29,False
883,2226,False
884,0,False
885,2208,False
886,592,False
887,29,False
888,0,False
889,3,False
890,0,False
891,0,False
892,510,False
893,2208,False
894,1,False
895,510,False
896,3,False
897,0,False
898,0,False
899,7,False
900,12,False
901,0,False
902,2208,False
903,0,False
904,1,False
905,1,False
906,29,False
907,7,False
908,29,False
909,29,False
910,2226,False
911,1,False
912,91,False
913,1,False
914,1,False
915,0,False
916,0,False
917,0,False
918,0,False
919,5,False
920,91,False
921,29,False
922,50,False
923,5,False
924,8,False
925,1,False
926,510,False
927,0,False
928,5,False
929,0,False
930,0,False
931,0,False
932,0,False
933,91,False
934,0,False
935,3,False
936,91,False
937,0,False
938,0,False
939,0,False
940,1,False
941,592,False
942,2208,False
943,0,False
944,0,False
945,0,False
947,29,False
948,0,False
949,0,False
950,1,False
951,0,False
952,29,False
953,29,False
955,0,False
956,29,False
957,29,False
958,29,False
959,29,False
960,29,False
961,0,False
962,2226,False
963,12,False
964,2226,False
965,0,False
966,0,False
968,91,False
969,0,False
970,91,False
971,0,False
972,1,False
973,29,False
974,7,False
975,1,False
976,0,False
977,7,False
978,7,False
979,0,False
980,7,False
981,1,False
982,0,False
983,2,False
984,0,False
985,29,False
986,0,False
987,7,False
988,13,False
989,91,False
990,29,False
991,0,False
992,0,False
993,29,False
994,3,False
995,825,False
997,257,False
998,0,False
999,0,False
1000,496,False
1001,1,False
1002,1,False
1003,0,False
1004,0,False
1005,29,False
1006,0,False
1007,0,False
1008,4,False
1009,0,False
1010,0,False
1011,0,False
1012,91,False
1013,1,False
1014,0,False
1016,0,False
1017,91,False
1019,0,False
1020,91,False
1021,13,False
1023,31,False
1024,0,False
1025,0,False
1026,2,False
1027,29,False
1028,1,False
1029,3,False
1030,0,False
1031,0,False
1032,0,False
1033,0,False
1034,0,False
1035,0,False
1036,0,False
1037,2,False
1038,510,False
1039,1,False
1040,91,False
1042,91,False
1043,91,False
1044,91,False
1045,5,False
1046,0,False
1047,2,False
1048,7,False
1049,0,False
1050,5,False
1051,29,False
1052,0,False
1053,5,False
1054,42,False
1055,0,False
1056,91,False
1057,1,False
1058,5,False
1059,5,False
1061,0,False
1062,91,False
1063,91,False
1064,2,False
1065,0,False
1066,5,False
1067,13,False
1068,6,False
1069,3,False
1070,3,False
1071,1,False
1072,0,False
1074,0,False
